MAZ,taz
13721,1149
13722,1092
13723,981
13724,1092
13725,1092
13726,1092
13880,1092
13881,1092
13882,1092
13883,1092
13884,1092
13885,1092
13886,981
13887,981
13888,981
13889,1103
13890,1359
13891,1398
13892,1398
13893,1252
13894,1257
13895,1290
13896,1290
13897,1240
13898,1290
13899,1240
13900,1332
13901,1332
13902,1237
13903,1332
13904,1332
13905,1332
13906,1332
13907,1237
13908,1237
13909,1237
13910,1237
13911,1237
13932,1374
13933,1374
13935,1374
13936,1374
13937,1374
13938,1374
13939,1439
13940,1439
13941,1363
13942,1439
13943,1439
13944,1363
13945,1347
13946,1347
13947,1297
13948,1297
13949,1207
13950,1207
13951,1207
13952,1207
13953,1207
13954,1016
13955,1016
13956,1016
13957,1016
13958,1016
13959,1016
13960,1016
13961,1016
13962,1086
13963,1086
13964,1086
13965,1086
13966,1086
13967,1086
13968,1238
13969,1238
13970,1238
13971,1238
13972,1238
13973,1238
13974,1238
13975,1180
13976,1180
13977,1156
13978,1156
13979,1180
13980,1196
13981,1196
13982,1196
13983,1196
13984,1125
13985,1109
13986,1109
13987,1109
13988,1109
13989,1047
13990,1047
13991,1047
13992,1026
13993,1026
13994,1039
13995,1272
13996,1255
13997,1255
13998,1255
13999,1255
14000,1311
14001,1049
14002,1244
14003,1280
14004,1280
14005,1328
14006,1328
14007,1258
14008,1258
14009,1102
14010,1102
14011,1214
14012,1214
14013,1214
14014,1307
14015,1307
14016,1307
14017,1307
14018,1214
14019,1214
14020,1174
14021,1291
14022,1210
14023,1210
14024,1210
14025,1210
14026,1110
14303,1524
14304,1524
14305,1404
14306,1450
14307,1524
14308,1404
14339,978
14340,978
14341,1214
14342,1214
14343,1214
14358,1110
14359,1110
14360,1110
14404,1110
23693,2169
23734,1371
23740,1405
23742,1425
23743,1411
23744,1355
23749,1370
23751,1405
23754,1405
23755,1371
23756,1370
23757,1334
23825,1026
23829,1498
23832,1498
23833,1561
24067,1368
24068,1368
24069,1455
24073,1509
24074,1471
24075,1514
24076,1514
24079,1549
24080,1411
24097,1494
24101,1233
24102,1233
24114,1491
24115,1570
24116,915
24119,1118
24127,1580
24128,794
24139,1465
24196,2133
24273,854
24274,1180
24275,1374
24282,1448
24283,1470
